No,지역,지역,지역,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월,2025년 10월,2025년 11월,2025년 12월,2026년 1월,2026년 2월,2026년 3월
No,지역,지역,지역,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수,지수
1,경북,경북,경북,94.506,94.698,94.878,95.060,95.233,95.384,95.539,95.702,95.858,96.020,96.210,96.397,96.584,96.757,96.919,97.068,97.198,97.313,97.353,97.380,97.355,97.347,97.358,97.387,97.422,97.463,97.522,97.615,97.722,97.837,97.952,98.052,98.149,98.237,98.341,98.456,98.563,98.661,98.758,98.847,98.926,99.006,99.088,99.166,99.236,99.311,99.394,99.480,99.559,99.621,99.678,99.727,99.779,99.832,99.887,99.950,100.000,100.043,100.092
2,경북,시지역,시지역,94.540,94.725,94.898,95.074,95.242,95.388,95.536,95.695,95.850,96.013,96.207,96.396,96.588,96.765,96.925,97.068,97.191,97.299,97.337,97.364,97.331,97.319,97.325,97.353,97.383,97.420,97.484,97.586,97.701,97.826,97.949,98.053,98.155,98.246,98.356,98.475,98.586,98.684,98.781,98.868,98.944,99.022,99.101,99.176,99.240,99.312,99.394,99.479,99.556,99.620,99.677,99.725,99.778,99.831,99.887,99.951,100.000,100.043,100.092
3,경북,군지역,군지역,94.414,94.624,94.826,95.027,95.214,95.382,95.561,95.736,95.892,96.048,96.230,96.407,96.579,96.745,96.908,97.079,97.230,97.364,97.410,97.438,97.435,97.441,97.466,97.500,97.549,97.602,97.644,97.710,97.791,97.872,97.963,98.048,98.130,98.209,98.294,98.396,98.489,98.586,98.685,98.779,98.869,98.953,99.049,99.136,99.223,99.308,99.395,99.485,99.567,99.626,99.682,99.732,99.783,99.833,99.886,99.948,100.000,100.041,100.092
4,경북,포항시,포항시,94.236,94.439,94.633,94.850,95.052,95.154,95.269,95.438,95.591,95.767,95.977,96.193,96.418,96.623,96.808,96.948,97.066,97.146,97.168,97.191,97.092,97.019,96.989,96.995,97.005,97.038,97.141,97.376,97.577,97.738,97.887,98.016,98.142,98.250,98.364,98.485,98.599,98.694,98.803,98.878,98.952,99.033,99.102,99.172,99.231,99.298,99.378,99.449,99.522,99.587,99.646,99.697,99.748,99.808,99.874,99.940,100.000,100.055,100.113
5,경북,포항시,남구,94.391,94.590,94.779,94.990,95.195,95.306,95.417,95.560,95.678,95.858,96.043,96.271,96.483,96.659,96.838,96.971,97.099,97.172,97.193,97.213,97.116,97.048,97.030,97.033,97.042,97.073,97.176,97.400,97.594,97.740,97.891,98.027,98.151,98.264,98.380,98.484,98.585,98.666,98.768,98.840,98.920,99.011,99.085,99.157,99.216,99.283,99.361,99.433,99.514,99.588,99.648,99.695,99.744,99.805,99.878,99.949,100.000,100.052,100.106
6,경북,포항시,북구,94.091,94.298,94.496,94.719,94.918,95.014,95.132,95.324,95.509,95.683,95.914,96.120,96.355,96.588,96.778,96.926,97.033,97.120,97.144,97.170,97.068,96.992,96.951,96.959,96.971,97.006,97.108,97.353,97.562,97.736,97.884,98.006,98.135,98.237,98.350,98.488,98.613,98.721,98.835,98.914,98.982,99.054,99.119,99.187,99.246,99.312,99.394,99.465,99.529,99.586,99.646,99.700,99.753,99.811,99.870,99.932,100.000,100.057,100.119
7,경북,경주시,경주시,94.467,94.639,94.810,94.993,95.196,95.318,95.447,95.595,95.769,95.942,96.186,96.369,96.572,96.752,96.926,97.077,97.208,97.322,97.359,97.390,97.301,97.261,97.256,97.263,97.277,97.308,97.402,97.547,97.664,97.795,97.936,98.022,98.098,98.180,98.264,98.391,98.492,98.584,98.673,98.732,98.789,98.860,98.957,99.034,99.091,99.169,99.261,99.360,99.441,99.512,99.574,99.632,99.687,99.757,99.834,99.930,100.000,100.058,100.131
8,경북,김천시,김천시,94.357,94.494,94.649,94.794,94.939,95.105,95.277,95.455,95.620,95.771,95.950,96.118,96.273,96.410,96.568,96.721,96.853,96.981,97.040,97.086,97.103,97.117,97.138,97.156,97.173,97.190,97.202,97.226,97.304,97.431,97.571,97.692,97.821,97.937,98.069,98.191,98.316,98.436,98.558,98.666,98.751,98.845,98.937,99.031,99.116,99.208,99.307,99.408,99.506,99.598,99.668,99.719,99.775,99.825,99.883,99.943,100.000,100.046,100.096
9,경북,안동시,안동시,94.699,94.845,94.985,95.120,95.261,95.434,95.603,95.789,95.935,96.075,96.230,96.382,96.546,96.680,96.800,96.927,97.054,97.168,97.202,97.194,97.210,97.262,97.336,97.432,97.479,97.514,97.549,97.595,97.637,97.715,97.800,97.890,97.971,98.050,98.149,98.267,98.370,98.469,98.592,98.683,98.781,98.875,98.954,99.034,99.110,99.196,99.279,99.358,99.440,99.510,99.581,99.641,99.707,99.783,99.850,99.930,100.000,100.062,100.130
10,경북,구미시,구미시,94.820,94.999,95.127,95.234,95.300,95.445,95.590,95.723,95.854,96.023,96.215,96.428,96.658,96.863,97.046,97.197,97.314,97.414,97.468,97.510,97.526,97.555,97.588,97.631,97.682,97.733,97.806,97.868,98.008,98.190,98.354,98.486,98.594,98.697,98.822,98.950,99.059,99.166,99.251,99.374,99.442,99.499,99.570,99.626,99.676,99.719,99.777,99.833,99.887,99.907,99.924,99.929,99.949,99.956,99.972,100.001,100.000,99.999,99.997
11,경북,영주시,영주시,93.489,93.662,93.830,94.004,94.166,94.285,94.406,94.511,94.614,94.710,94.876,95.037,95.175,95.300,95.434,95.545,95.686,95.804,95.840,95.883,95.903,95.961,96.009,96.044,96.101,96.142,96.177,96.290,96.412,96.546,96.676,96.820,97.041,97.160,97.358,97.512,97.651,97.762,97.863,97.994,98.106,98.251,98.385,98.512,98.627,98.763,98.895,99.054,99.168,99.280,99.382,99.471,99.600,99.703,99.792,99.912,100.000,100.087,100.177
12,경북,영천시,영천시,94.526,94.713,94.858,95.014,95.176,95.343,95.514,95.681,95.852,96.011,96.180,96.374,96.545,96.720,96.864,97.007,97.143,97.265,97.299,97.327,97.341,97.357,97.377,97.396,97.417,97.437,97.453,97.479,97.576,97.658,97.740,97.834,97.938,98.029,98.132,98.241,98.363,98.483,98.596,98.700,98.796,98.901,98.997,99.102,99.192,99.286,99.382,99.472,99.559,99.631,99.688,99.744,99.801,99.849,99.900,99.953,100.000,100.043,100.095
13,경북,상주시,상주시,95.095,95.245,95.391,95.536,95.676,95.825,95.979,96.143,96.276,96.418,96.570,96.712,96.854,96.999,97.131,97.272,97.401,97.524,97.591,97.639,97.657,97.669,97.684,97.698,97.717,97.744,97.765,97.788,97.807,97.854,97.953,98.022,98.122,98.209,98.328,98.448,98.562,98.671,98.785,98.886,98.978,99.048,99.111,99.170,99.225,99.282,99.339,99.406,99.463,99.531,99.592,99.647,99.714,99.785,99.862,99.936,100.000,100.059,100.121
14,경북,문경시,문경시,94.957,95.077,95.200,95.351,95.498,95.618,95.722,95.816,95.932,96.038,96.192,96.302,96.412,96.511,96.615,96.732,96.842,96.966,97.010,97.037,97.073,97.121,97.171,97.203,97.309,97.375,97.444,97.502,97.530,97.582,97.660,97.735,97.832,97.916,97.989,98.095,98.202,98.315,98.400,98.501,98.609,98.686,98.782,98.895,98.988,99.105,99.239,99.359,99.460,99.536,99.611,99.678,99.742,99.804,99.858,99.928,100.000,100.052,100.124
15,경북,경산시,경산시,94.807,95.060,95.311,95.557,95.787,96.007,96.212,96.404,96.592,96.772,96.958,97.151,97.331,97.507,97.651,97.794,97.907,98.025,98.059,98.068,98.036,98.005,97.979,98.021,98.061,98.115,98.166,98.187,98.255,98.343,98.413,98.482,98.542,98.594,98.689,98.785,98.889,98.958,99.021,99.084,99.145,99.204,99.253,99.310,99.357,99.409,99.473,99.562,99.644,99.704,99.757,99.806,99.855,99.897,99.935,99.975,100.000,100.022,100.055
16,경북,(구)군위군,(구)군위군,83.653,84.042,84.464,84.982,85.454,85.890,86.388,86.886,87.314,87.702,88.071,88.475,88.882,89.255,89.599,89.964,90.259,90.531,90.611,90.676,90.736,90.792,90.875,91.026,91.226,91.395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,경북,의성군,의성군,90.301,90.629,90.900,91.181,91.464,91.730,92.013,92.320,92.602,92.877,93.160,93.444,93.702,93.938,94.167,94.430,94.631,94.835,94.902,94.959,95.009,95.061,95.123,95.220,95.340,95.457,95.571,95.675,95.810,95.944,96.108,96.302,96.521,96.740,96.933,97.162,97.382,97.599,97.774,97.963,98.153,98.303,98.446,98.575,98.724,98.867,99.014,99.143,99.255,99.362,99.458,99.541,99.629,99.714,99.803,99.908,100.000,100.060,100.155
18,경북,청송군,청송군,95.908,96.049,96.189,96.324,96.499,96.599,96.704,96.837,96.953,97.055,97.246,97.408,97.543,97.646,97.748,97.848,97.949,98.052,98.091,98.104,98.037,98.012,98.023,98.047,98.067,98.087,98.142,98.289,98.385,98.442,98.504,98.567,98.629,98.688,98.795,98.904,98.954,99.006,99.057,99.111,99.159,99.216,99.275,99.338,99.390,99.450,99.499,99.562,99.616,99.661,99.706,99.747,99.791,99.838,99.892,99.947,100.000,100.048,100.106
19,경북,영양군,영양군,96.856,96.987,97.129,97.259,97.401,97.527,97.608,97.659,97.738,97.827,97.953,98.036,98.131,98.241,98.331,98.420,98.539,98.628,98.656,98.664,98.588,98.514,98.506,98.584,98.629,98.651,98.574,98.584,98.624,98.671,98.733,98.798,98.837,98.867,98.962,99.015,99.055,99.099,99.150,99.203,99.253,99.306,99.358,99.412,99.453,99.508,99.560,99.611,99.655,99.697,99.736,99.766,99.809,99.844,99.894,99.948,100.000,100.036,100.077
20,경북,영덕군,영덕군,94.853,94.983,95.140,95.292,95.464,95.600,95.744,95.901,96.045,96.209,96.412,96.596,96.751,96.898,97.040,97.174,97.291,97.417,97.462,97.487,97.401,97.375,97.376,97.395,97.423,97.480,97.602,97.778,97.955,98.069,98.166,98.263,98.365,98.458,98.569,98.670,98.754,98.843,98.939,99.003,99.073,99.135,99.188,99.243,99.299,99.357,99.415,99.479,99.532,99.563,99.604,99.652,99.719,99.785,99.858,99.935,100.000,100.067,100.136
21,경북,청도군,청도군,95.610,95.830,96.032,96.198,96.363,96.515,96.661,96.766,96.854,96.941,97.079,97.216,97.361,97.508,97.654,97.799,97.947,98.093,98.159,98.203,98.219,98.231,98.245,98.262,98.273,98.290,98.302,98.312,98.388,98.470,98.546,98.628,98.700,98.759,98.854,98.958,99.026,99.077,99.124,99.206,99.270,99.300,99.354,99.403,99.451,99.497,99.552,99.611,99.670,99.716,99.759,99.793,99.832,99.866,99.907,99.956,100.000,100.044,100.090
22,경북,고령군,고령군,95.134,95.333,95.527,95.709,95.884,96.048,96.242,96.420,96.567,96.733,96.910,97.076,97.240,97.412,97.574,97.729,97.871,97.970,97.988,98.001,97.996,97.997,97.997,97.999,98.037,98.065,98.088,98.110,98.150,98.196,98.262,98.317,98.382,98.431,98.471,98.550,98.640,98.726,98.807,98.886,98.955,99.037,99.115,99.192,99.270,99.359,99.462,99.574,99.657,99.718,99.772,99.820,99.863,99.899,99.938,99.972,100.000,100.024,100.051
23,경북,성주군,성주군,94.812,95.025,95.217,95.403,95.582,95.764,95.944,96.100,96.251,96.406,96.581,96.756,96.930,97.087,97.242,97.398,97.535,97.643,97.687,97.703,97.701,97.697,97.707,97.707,97.727,97.761,97.784,97.817,97.861,97.905,97.965,98.021,98.085,98.137,98.187,98.279,98.370,98.472,98.579,98.686,98.794,98.904,99.018,99.121,99.216,99.320,99.431,99.545,99.661,99.721,99.774,99.828,99.872,99.904,99.934,99.968,100.000,100.029,100.082
24,경북,칠곡군,칠곡군,95.553,95.741,95.932,96.095,96.218,96.324,96.431,96.540,96.640,96.743,96.880,97.014,97.141,97.277,97.408,97.572,97.712,97.824,97.859,97.881,97.880,97.877,97.896,97.910,97.944,97.986,98.017,98.036,98.081,98.135,98.198,98.238,98.279,98.333,98.381,98.456,98.531,98.626,98.742,98.835,98.925,99.007,99.122,99.220,99.322,99.411,99.487,99.576,99.659,99.708,99.757,99.795,99.829,99.870,99.914,99.962,100.000,100.021,100.041
25,경북,예천군,예천군,95.334,95.462,95.605,95.741,95.853,95.971,96.106,96.251,96.374,96.489,96.613,96.730,96.840,96.938,97.066,97.185,97.306,97.430,97.459,97.470,97.499,97.523,97.560,97.587,97.611,97.640,97.672,97.757,97.821,97.909,98.015,98.123,98.209,98.276,98.381,98.462,98.550,98.627,98.717,98.797,98.874,98.953,99.045,99.124,99.194,99.268,99.375,99.463,99.538,99.597,99.656,99.708,99.767,99.810,99.860,99.935,100.000,100.056,100.126
26,경북,봉화군,봉화군,96.228,96.372,96.517,96.661,96.794,96.919,97.021,97.112,97.217,97.325,97.472,97.583,97.692,97.793,97.890,97.980,98.091,98.200,98.233,98.251,98.187,98.177,98.182,98.207,98.247,98.280,98.236,98.251,98.282,98.357,98.456,98.567,98.617,98.660,98.729,98.788,98.836,98.887,98.936,98.985,99.047,99.118,99.196,99.275,99.345,99.398,99.451,99.516,99.576,99.630,99.681,99.719,99.758,99.817,99.876,99.937,100.000,100.041,100.092
27,경북,울진군,울진군,94.715,94.902,95.056,95.245,95.423,95.524,95.649,95.780,95.914,96.056,96.212,96.371,96.524,96.693,96.856,96.988,97.095,97.180,97.204,97.231,97.162,97.133,97.152,97.173,97.196,97.231,97.302,97.487,97.656,97.791,97.913,98.005,98.085,98.154,98.237,98.344,98.441,98.526,98.614,98.684,98.751,98.831,98.905,98.986,99.056,99.124,99.195,99.269,99.342,99.410,99.473,99.538,99.607,99.687,99.782,99.912,100.000,100.081,100.172
28,경북,울릉군,울릉군,86.442,86.823,87.167,87.553,87.981,88.420,88.866,89.324,89.694,89.993,90.359,90.671,91.087,91.487,91.862,92.194,92.477,92.726,92.891,92.959,92.977,93.003,93.094,93.175,93.309,93.463,93.672,94.067,94.425,94.743,95.053,95.330,95.619,95.936,96.170,96.384,96.605,96.885,97.108,97.290,97.464,97.618,97.853,98.072,98.286,98.483,98.614,98.779,98.930,99.070,99.195,99.332,99.459,99.581,99.729,99.878,100.000,100.091,100.214
